109,1665581116,34.0209164,71.4715428,300,AUTO
112,1665581117,34.0209265,71.4716154,248,AUTO
113,1665581117,34.0209304,71.4716429,314,AUTO
115,1665581118,34.0209387,71.4716991,290,AUTO
117,1665581119,34.020945,71.4717408,170,AUTO
119,1665581120,34.0209514,71.4717845,50,AUTO
120,1665581121,34.0209554,71.4718133,230,AUTO
125,1665581123,34.0209728,71.4719411,5,AUTO
126,1665581123,34.0209764,71.4719691,50,AUTO
136,1665581128,34.0210073,71.4722062,100,AUTO
142,1665581131,34.0210309,71.4723592,150,AUTO
158,1665581138,34.0210847,71.4727437,144,AUTO
164,1665581141,34.0211504,71.4727917,133,AUTO
201,1665581158,34.0218045,71.4727144,245,AUTO
245,1665581178,34.0216835,71.471721,330,AUTO
269,1665581191,34.0215885,71.4710361,10,AUTO
295,1665581203,34.0215083,71.4704777,44,AUTO
338,1665581223,34.0222213,71.4704767,305,AUTO
